    0.10       1.0828      1.0828      0.0000
    0.30       1.1829      1.1826      0.0002
    0.50       1.3241      1.3231      0.0010
    0.70       1.5086      1.5060      0.0026
    0.90       1.7372      1.7315      0.0057
    1.10       2.0099      1.9985      0.0113
    1.30       2.3264      2.3056      0.0208
    1.50       2.6870      2.6511      0.0359
    1.70       3.0928      3.0333      0.0594
    1.90       3.5454      3.4505      0.0949
    2.10       4.0486      3.9015      0.1471
    2.30       4.6073      4.3850      0.2223
    2.50       5.2283      4.8996      0.3287
    2.70       5.9209      5.4444      0.4765
    2.90       6.6970      6.0182      0.6788
    3.10       7.5721      6.6204      0.9517
    3.30       8.5651      7.2500      1.3152
    3.50       9.6996      7.9063      1.7934
    3.70      11.0042      8.5886      2.4157
    3.90      12.5133      9.2962      3.2171
    4.10      14.2682     10.0287      4.2395
    4.30      16.3173     10.7853      5.5320
    4.50      18.7185     11.5658      7.1528
    4.70      21.5385     12.3694      9.1691
    4.90      24.8557     13.1959     11.6598
