#z_lo	z_mean	z_hi		s0	s0plus s0minus	gamma	plus	minus	redchi2		DOF
 0.30 	0.488 0.68    		6.10 0.4 0.8   			1.63 0.26 0.23			1.1305782	11
 0.68 	0.801 0.92    		7.05 0.9 1.1 			1.98 0.42 0.58			0.8003491	9
 0.92 	1.028 1.13    		4.80 1.8 1.4			 0.83 0.17 0.23   		1.4134939	7
 1.13 	1.228 1.32    		6.95 1.6 1.7			 0.99 0.30 0.28  		0.4319769	6
 1.32 	1.412 1.50    		6.05 1.4 1.5			 2.32 0.8  0.77			0.7436301	7
 1.50 	1.577 1.66    		5.70 1.4 1.5			 1.51 0.69 0.42 		1.5677571	8
 1.66 	1.744 1.83    		6.60 1.8 1.7			 0.99 0.43 0.29 		0.1878546	6
 1.83 	1.917 2.02    		7.65 2.4 2.4  			 0.82 0.39 0.32 		0.4151572	7
 2.02 	2.126 2.25    		3.90 2.6 3.9  		 	 1.90 0.9  0.9			0.6814129	5
 2.25 	2.462 2.90  		11.15 0.0 0.0  		 	 2.76 0.0   0.0			0.0093373	3
