#z_lo	z_mean	z_hi		s0	s0plus s0minus	gamma	plus	minus	redchi2		DOF
 0.08 	0.235 0.30    		6.90 1.4 1.5   			1.37 0.41 0.31			0.2889		9
 0.30 	0.488 0.68    		6.05 0.4 0.8   			1.63 0.23 0.24			1.1305782	11
 0.68 	0.801 0.92    		7.05 0.9 1.1 			1.90 0.60 0.60			0.8003491	9
 0.92 	1.028 1.13    		2.68 1.4 1.3			0.57 0.14 0.15   		1.4134939	7
 1.13 	1.228 1.32    		7.10 1.5 1.7			1.00 0.30 0.25  		0.4319769	6
 1.32 	1.412 1.50    		6.05 1.4 1.9			2.13 0.87 0.78			0.7436301	7
 1.50 	1.577 1.66    		6.10 1.4 1.6			1.67 0.81 0.50 		1.5677571	8
 1.66 	1.744 1.83    		7.70 1.7 1.8			1.11 0.39 0.31 		0.1878546	6
 1.83 	1.917 2.02    		7.43 2.4 2.4  			0.84 0.41 0.30 		0.4151572	7
 2.02 	2.104 2.20    		3.65 1.6 1.9  		 	1.10 0.29 0.15			0.6814129	5
 2.20 	2.462 2.90  		10.75 2.2 3.4  		 	2.60 0.60 1.1			0.0093373	3
