#  i,        z_bin,        no. 
           0      0.00000       0
           1    0.0500000       6
           2     0.100000      81
           3     0.150000     250
           4     0.200000     533
           5     0.250000     666
           6     0.300000    1018
           7     0.350000    1147
           8     0.400000    1138
           9     0.450000    1004
          10     0.500000    1056
          11     0.550000    1035
          12     0.600000    1056
          13     0.650000     884
          14     0.700000     938
          15     0.750000     895
          16     0.800000     971
          17     0.850000     988
          18     0.900000     994
          19     0.950000    1062
          20      1.00000    1206
          21      1.05000    1325
          22      1.10000    1286
          23      1.15000    1377
          24      1.20000    1497
          25      1.25000    1381
          26      1.30000    1417
          27      1.35000    1323
          28      1.40000    1297
          29      1.45000    1450
          30      1.50000    1644
          31      1.55000    1604
          32      1.60000    1385
          33      1.65000    1435
          34      1.70000    1419
          35      1.75000    1491
          36      1.80000    1322
          37      1.85000    1292
          38      1.90000    1153
          39      1.95000    1023
          40      2.00000     886
          41      2.05000     853
          42      2.10000     767
          43      2.15000     715
          44      2.20000     579
          45      2.25000     553
          46      2.30000     407
          47      2.35000     341
          48      2.40000     348
          49      2.45000     282
          50      2.50000     261
          51      2.55000     198
          52      2.60000     168
          53      2.65000     117
          54      2.70000     107
          55      2.75000     121
          56      2.80000     124
          57      2.85000     183
          58      2.90000       3
          59      2.95000       0
